expected output,output
['angiography of the left posterior circulation of the brainangiography ( sagittal view ) demonstrates complete occlusion of the left vertebral artery ( black arrow ).'],['an lateral radiograph of the skull in a patient with occlusive syndrome and related t2 signals : the occipital bones associated with the brachial and occipital nerve.']
"['axial figure ct brain, after insertion of vp shunt.']","['postoperative ct aspect in patient b. i. of 71 years old ; evacuated subdural haematoma, re - expansion brain, ventricular system on the median line']"
['uscd of the right carotid artery showing circumferential parietal swelling interesting the left subclavian artery reducing his superficies of 76 % and demodulating the doppler spectrum'],['transverse ultrasonography of the left temporal bone with an occlusive end plate and the proximal occipital nerve']
"['brain magnetic resonance imaging ( t2 weighted image, sagittal view ) of case 2 demonstrates the occipital dermal sinus, inracranial sinus tract, and midline posterior fossa cystic mass.']",['sagittal t2 - weighted magnetic resonance image showing absence of corpus callosum']
['case 6. partial res with fused upper parts of the cerebellum.'],['axial t2 flair image demonstrating left temporal lobe metastatic lesion.']
['brain mri findings of a representative patient ( case 12 ). fluid - attenuated inversion recovery images show abnormal hyperintense signals in the left medial temporal lobe ( arrow ). mri = magnetic resonance imaging.'],['t1 - weighted flair mri of the brain demonstrating focal high signal intensity in the subcortical white matter involving the medial temporal lobe close to the hippocampus ( white arrow ).']
['gadolinium - enhanced brain magnetic resonance imaging shows hyper - intensity signal over bilateral putamen regions in t1 weighted imaging.'],['magnetic resonance imaging of the brain ( t2 weighted contrast enhanced section ) showing several nonspecific areas of enhancement ( arrows ). there is also evidence of enhancement at the left temporal lobe atrophy.']
['infratentorial bleed with brainstem displaced'],['axial ct scan of brain showing fronto - temporal atrophy with prominent bilateral occipital horn dilatation with left lateral ventricle and absent neuroparenchyma']
['t2w / flair axial section of the orbit and brain. vitreous and csf in subarachnoid space and ventricles are hypointense ( arrow heads ). grey matter ( single arrow ) is hyperintense as compared to white matter ( double arrows )'],['t2 weighted axial image of the orbit and brain atrophy showing butterfly - shaped hyperintensity extending from the medial temporal lobe cortex and medially ( arrows ).']
['ct brain scan. hypodense depiction of the left temporal lobe.'],['a ct scan showing the lesion in the left temporal lobe.']
"['axial ct post - contrast soft tissue windows in a patient with adenoid cystic carcinoma ( acc ) extending throughout the left nasal cavity, left maxillary sinus and left pterygoid fossa with enlargement and loss of fat in the left pterygopalatine fossa and left infratemporal fossa. perineural tumour extension is expected along the v2 branches in pterygopalatine fossa, infraorbital nerve and foramen rotundum.']",['axial computed tomography of paranasal sinuses and brain showing bilateral thickening of the left maxillary sinus with destruction of the left clivus and postoperative cavity.']
"['on the diffusion - weighted image, the area from the right cerebello - pontine angle to the right temporal lobe showed a high - intensity signal.']",['diffusion - weighted axial magnetic resonance imaging of the brain shows restricted diffusion at the left temporal horns of lateral ventricle']
['ct brain ( plain ) showing left fronto parietal hematoma with a midline shift'],['postoperative ct scan of brain showing underlying normal parietal and temporal lobes']
['postcontrast axial ct scan showing a large recurrent tumor almost occupying the whole posterior part of the left temporal lobe'],['post enhanced ct scan showing left temporal arachnoid cyst with no significant mass effect']
"['t2 - weighted axial image of brain of 9 - month - old male child with non - lissencephalic cortical dysplasia shows shallow sylvian fissures giving figure eight appearance, polymicrogyria with shallow sulci and relative paucity of underlying white matter']",['t2 - weighted axial mri of brain of 17 - year - old male with heterotopia shows mass of heterotopic gray matter involving both frontal lobes as well as sulci']
['coronal view of a structural mri at hot - spot level. from the hot - spot ( red dot ) at the skull the normal to the skalp surface is extended into the brain. the intersection of this line with the precentral gyrus is used for later evaluation of the angle of the precentral gyrus with respect to the interhemispheric cleft ( cf. figure 8 ).'],['central nervous system white matter lesions. coronal section through the brain. color figure indicates the volume of interest ( arrow ).']
"['plain ct - scan at 4 weeks of multi - dural stabs, resolving contusion after severe brain edema, and acute subdural hematoma with replaced bone flap']",['computed tomography scan of the brain showing underlying normal brain structure.']
['an enlarged image of the abdominal wall. the upper arrow shows the transverse fascia and the lower one – parietal peritoneum. t – viscera'],['transabdominal scan of a hemoperitoneum with hypoechoic tone suggesting a parietal pleural effusion ( arrows ).']
['an axial ct scan of the head after i. v. contrast enhancement showing tumour mass located in right fronto - temporal region of the brain.'],['non - contrast ct brain showing a hyperdense focus in the right basal ganglia.']
"[""the fiber tracts affected by the patient's lesion. the patient's acute lesion ( a, yellow ) and affected fibre tracts ( purple ) in the chronic brain, superimposed on the patient's fractional anisotropy image. the tracts include at the posterolateral edge of the pulvinar the inferior fronto - occipital fasciculus ( b ), which projects to the external capsule and the insula.""]","['representative sample of stereotyped structures ( a representative participant ) : coronal section of rat brain tissue ( 1. 5 glioma in purple ), the hippocampal cortex ( a ), the left thalamus ( pink ), and the anterior hippocampus ( green ). the left hippocampus is marked in blue.']"
"['brain mri flair showed abnormal signal in bilateral hippocampus. abbreviation : flair, fluid - attenuated inversion recovery.']",['brain mri showed atrophy of bilateral hippocampus.']
['temporal bone ct ( coronal ) showing a soft tissue mass occupying the mastoid antrum and part of the external ear canal. arrows indicate the mass expanding into the external ear canal.'],"['temporal bone ct scan of the left temporal bone showing complete opacification of the mastoid air cells, an air - containing middle ear and swelling of the soft tissues surrounding the ear']"
"['mri of the brain ( flair sequence ) on day 3 showing high signal at the left perimesencephalic cistern. this area was bright also on the t1 sequence. this is typical for late subacute hemorrhage, indicating the presence of free ( extracellular ) methemoglobin.']","[""32 year old man with history of wilson's disease who presents with slurred speech. t2 - flair axial image shows presence of hyperintensities involving bilateral temporal lobes.""]"
"['the vagal nerves in the posterior fossa. axial heavily t2 - weighted thin - slice mr image through the brainstem with the position of the nucleus ambiguus ( white circles ), the exit of the vagal nerves from the olivary sulcus ( curved arrow ), the cisternal segment of the vagal nerves ( long arrow ), and the pars nervosa of the jugular foramen ( short arrow )']","['nonspecific ischemic changes in the left temporal lobe of the brain ( a ), the hippocampus ( b ) the white matter of the right cerebellum and the surrounding perivascular space.']"
['contrast enhanced ct ( transverse section ) showing intraparietal mass in left lumbar region with no intraperitoneal extension.'],['computed tomography scan showing bilateral adrenal masses at parietal plexus and occlusive of parietal peritoneum.']
"['ct brain with contrast, day 6 in icu, deteriorating neurologic status']",['post - operative brain ct scan at nine months.']
"['magnetic resonance imaging of the brain showing bilateral fairly symmetrical t2 / flair white matter hyperintensities involving deep white matter and periventicular region, sparing subcortical u - fibers']",['magnetic resonance imaging findings in the patientan axial section of the brain showing cortical atrophy with no evidence of lesions']
['brain primary tumor.'],['an axial flair image shows hyperintensity of the right fronto - parietal cortex.']
['diffusion - weighted sequences in magnetic resonance imaging of the brain showing restricted diffusion ( white arrow ) in posterior left parietal lobe consistent with acute parietal lobe infarction'],['diffusion - weighted image of the brain mri taken on day 9 with high intensity areas on the left middle cerebral artery region.']
['bilateral hyperintensities in t2 in the occipitoparietal white matter.'],['mri of brain at 6 months showing bilateral symmetric hyperintensity in the cortical - subcortical and deep white matter.']
"['fundus photo of case 1 showing mild temporal dragging of disc, straightening of temporal vessels, subretinal exudation and retinal scarring in the right eye']",['fluorescein angiogram of the left eye showing pigment clumps in temporal periphery after lightening injury']
"['10 / 30 / 14 presenting head ct showing cerebral edema with effacement of third ventricle, bilateral traumatic subarachnoid hemorrhage, and left frontal / temporal subdural hematoma.']",['10 / 30 / 14 presenting head ct showing traumatic subarachnoid hemorrhage in sylvian fissure and left temporal subdural hematoma']
['right temporoparietal acute epidural hematoma noted with maximum depth of 2. 2 cm and causing mass effect'],"['computed tomography scan showing a large right frontoparietal hemorrhagic contusion ( maximum depth, 1. 9 cm ) occupying the lateral ventricle and causing midline shift of the midline.']"
"['the “ anterior paralimbic rem activation area ” overlaps with fear and extinction circuits. 18fluoro - deoxyglucose pet image of areas that reactivate during rem sleep following relative quiescence during nrem sleep. dashed lines surround approximate cortical regions commonly activated in experimental protocols during fear conditioning ( yellow lines ) and during recall of extinguished conditioned fear ( white ) based upon milad and rauch [ 61 ], fig. 3. solid lines encircle approximate anatomic loci of subcortical structures similarly activated during fear conditioning ( yellow ) and extinction recall ( white ). the anterior paralimbic rem activation area includes the amygdala ( a ), and regions of dorsal anterior cingulate ( dacc ) and insular ( not shown ) cortices linked to a putative fear expression network. additionally, this region includes the ventromedial prefrontal ( vmpfc ) and hippocampal ( h ) areas [ 127 – 129 ] linked to a putative extinction memory network']",['brain areas involved in the pc1 and pc2 superimposed on the canonical single - subject mr image of spm2 in an axial plane showing the significant difference in schizophal activation ( blue ) is shown in red. the scatterploral structures ( ai ) are marked in blue ) : prefrontal cortex ; the medial border between the occipital cortex ( ai ) and the occipital cortex ( i. e. • map is superimposed on a standard deviation of the anatomical organization in the image.']
"['postcontrast, t1 weighted coronal mri of brain, showing extension of right side mass ( large arrow ) through the squamosal suture ( small arrow ).']",['gadolinium - enhanced t1 - weighted magnetic resonance imaging of the brain showing diffuse t2 / flair signal in the temporal lobe with surrounding edema.']
['postoperative sagittal t2 - weighted image showing gross total resection with decompression of the cerebellum'],['mri brain sagittal t2 view showing absence of corpus callosum']
"['a 56 - year - old woman presents to the emergency department for a left painless dorsolumbar fluctuating mass which was progressively growing over 3 months. ultrasonography was the first imaging study obtained. a long - axis view of the left kidney shows subcutaneous and parietal multiloculated heterogeneous hypoechoic collections, compatible with abscess adjacent to the left kidney ( red arrow ). moderate left hydronephrosis is also present ( white arrowheads ).']",['transabdominal ultrasonography of the abdomen at day nine after euthanasia. the red arrow indicates the distance between the ventricular system and the ventricles ( white dotted arrowheads ) and the end of the skin.']
['a ct image of the ischemic changes in the right occipital region.'],['postcontrast ct scan of the brain showing evidence of a small acute ischemia in the right occipital and temporal lobes.']
"['mri brain postcontrast t1 - weighted image depicts the ectopic location of the posterior pituitary gland. increased signal can be found at the floor of the third ventricle and not within the sella turcica. mri, magnetic resonance imaging.']","['sagittal t1 - weighted magnetic resonance image showing obliteration of superior sagittal sinus, pituitary, and cerebellar atrophy']"
['mri image of the brain ( t1 weighted image ). arrow indicates ectopic posterior lobe. pituitary hypoplasia is observed. pituitary stalk is not interrupted.'],['mri of the brain : sagittal t1w sequence showing absence of optic chiasm. the pituitary gland is normal. there is a thin layer of csf between the anterior and the dorsum sella turcica. there is no dysplastic or csf flow voids']
['brain computed tomography scan of the patient on presentation.'],['computed tomography scan showing a postoperative changes of the hematoma in the left parietal region.']
"['brain mr demonstrating asymmetric density ( arrow ) at the inferior margin of l globus pallidus in 46, xx del ( 4 ) ( q32 ).']",['flair mri revealed a restriction of infarction in the right temporal lobe.']
"['diffusion - weighted imaging highlighting restricted diffusion in the right temporal region, corresponding to figure 1']",['axial t2 fdg pet image shows restricted diffusion in the cortical region of the right temporal and parietal lobes.']
['brain magnetic resonance imaging of a nodule ( black arrow ) measuring 0. 3 cm in the right side of the pons in november 2012.'],['mri of the brain with contrast showing bilateral temporalis muscle in the left temporal lobe.']
['angiograms obtained in a 34 - year - old man revealing an avm in the left posterior parietal region'],['external carotid artery angiogram after left internal carotid artery injection shows an enlargement of superior sagittal sinus due to pressure effect']
"['transverse slice through skull base illustrating target volumes and their proximity to critical structures. blue, clinical target volume ; red, high target volume ; purple, intermediate target volume ; brown, brainstem ; orange, ipsilateral orbit ; yellow, brain structures.']","[""a representative axial slice from the patient's radiation plan is shown. the left temporal lobe of the brain is contoured in blue. the red indicates the left mastoid air while the left temporal lobe is blue.""]"
['coronal head computed tomography slice. this image is a coronal slice of the head computed tomography performed on the patient. it demonstrates a single intracranial metastasis with destruction of the parietal bone and extension of the lesion into the extracranial soft tissues.'],['postoperative ct scan of the brain showing decompression of the frontal lobe.']
['axial t1 - weighted image of the magnetic resonance imaging brain showing the presence of the hyperintense lesions suggestive of edema in the bilateral occipital and temporal lobes ( white arrows )'],['t2 fluid - attenuated inversion recovery magnetic resonance image of the brain showing the presence of central hyperintensities involving bilateral occipital lobes and the deep cerebellar peduncles bilaterally ( arrows )']
['postoperative computed tomography scan of the brain showing diffuse subarachnoid hemorrhage'],['post - operative cect brain at nine months after surgery showing complete resolution of the lesion']
['axial t2w mri of the brain shows the typical ‘ bat - wing ’ shaped fourth ventricle. the fourth ventricle is in direct contact with the extracerebellar subarachnoid space and the cerebellar hemispheres are in contact with each other'],['axial t2w mri of the brain reveals hypointense lesion in the right cerebellum ( arrow ). this likely represents pituitary apoplexy ( arrowhead ).']
"['cystic metastasis. infratentorial, rim - enhanced hypointense lesion revealed by post - contrast t1 - weighted mri image. department of neurology, colentina clinical hospital brain imaging archive.']",['sagittal flair brain mri shows prominent cerebellar atrophy with extrinsic pressure over both lateral ventricles and the temporal horns.']
"['gallbladder involvement by lymphoma. axial ct of the abdomen, showing marked parietal thickening of the gallbladder ( broad arrow ), together with periportal lymphomatous infiltration ( narrow arrow ).']","['lymphoma of the colon. contrast - enhanced axial ct of the abdomen, showing a hypovascularized infiltrative parietal lesion in the hepatic flexure of the colon, with thickening of the local haustra ( arrow ). note the thickening of the parietal thickening of the entire parietal lobe.']"
['t1 - weighted brain magnetic resonance imaging demonstrating both leptomeningeal enhancement ( arrowheads ) and a cerebellar metastasis ( arrow ).'],['mri brain with gadolinium proved the presence of central pontine lesions without signal intensity in the left cerebellar hemisphere.']
['brain mri showing focal hyperintensity of the right sub - cortico - frontal region on flair image'],['brain mri showing bilateral and symmetric hyperintensity of striatum and hyperintensity of the right insular cortex on flair image']
"['holoprosencephaly : axial t2w mri of the brain at the level of the thalami shows a monoventricle and fusion of the thalami ( t ), basal ganglia ( asterisk ), and the frontal lobes, with an absent falx cerebri ( open arrow )']",['t2w axial mri of the brain shows several foci of low signal intensity involving the amygdala and part of the head of the left caudate nucleus']
['dandy walker malformation. sagittal b - ffe image of a fetal brain at 26 w shows a markedly enlarged posterior fossa with elevated tentorium cerebelli ( black arrow ). the large cisterna magna communicates freely with the 4th ventricle due to defective cerebellum. the associated marked hydrocephalus and posterior cephalocele ( white arrow ) indicate poor postnatal outcome with higher recurrence risk and incidence of chromosomal abnormalities.'],['non - enchanced brain mri t1 - wi medial sagittal plane of a patient with ephedrone encephalopathy : significant cortical thinninges with normal cerebellar cortical atrophy and associated with a small hemosiderin deposits ( arrowheads ).']
['brain magnetic resonance image showing a subacute stage infarction involving a territory of the right middle cerebral artery.'],['diffusion - weighted magnetic resonance imaging of the brain shows classic non - enhancing lesion in the right temporal lobe.']
['pet scan revealed a well - delimited lesion in the left temporal region that suggested metastasis.'],['mri of the brain with gadolinium showing a ring - enhancing lesion in the left temporal lobe.']
['group differences in seed to voxel connectivity. note : results show greater connectivity between the loc and the right planum temporale in the uhr youth relative to controls. results are thresholded at the voxel - level at puncorrected < 0. 001 and then corrected at the cluster - level using a false - discovery rate ( fdr ) of p < 0. 01.'],['schematic of activation during the contrast of the brain. ( a and b ) the scatterplots show the association between the left and right striatum and the left precuneus and right frontal cortex. ( b ) the left hippocampus is shown in red.']
['magnetic resonance image of the brain showing an enhancing lesion in the left frontal lobe consistent with an abscess'],['axial t2 - weighted image showing an extensive bilateral fronto - parietal white matter involvement. there is focal high signal intensity in the periventricular white matter.']
['postoperative axial nonenhanced computerized tomography scan shows reexpansion of brain parenchyma without any residual / recurrent subdural hematoma and arrows show craniotomy defects'],['postoperative head ct showing bilateral cortical and subcortical hypodensities with no ischemia in the left parietal lobe.']
['ct of the chest ( 96 × 96 dpi ). sagittal reformatted ct image demonstrates the presence of a parenchymatous neoformation ( 6 cm ) in the right parietal pleura ( white arrow ) and of another mass in the right axillary extension ( 3 cm ) ( black arrow ).'],"['the same patient as in fig. 3, but a different cross section. the t2 - weighted mri image shows an expansile mass of 7. 3 cm in diameter, consistent with pneumocephalus.']"
['plain axial computed tomography scan showing a large 6 cm × 3. 2 cm × 5. 3 cm cystic lesion in the left temporoparietal region with underlying bone defect in the temporal bone ( black arrow )'],['computerized tomography scan of brain shows a large hyperdense area in the left frontoparietal region suggestive of encephalitis or an arachnoid cyst']
"['pre - operative contrast - enhanced magnetic resonance imaging showing a neoplastic process involving the left pons, the left middle cerebellar peduncle including the cerebellopontine angle with exophytic component extending into the mid brain and medulla.']",['brain mri showing dilatation of cerebellar tonsillar herniation ( arrow ).']
['post - gadolinium t1 weighted brain mri. ring - enhancing 3. 7 × 3 ×3 cm mass centered within the right parietal lobe. accompanying perilesional vasogenic edema contributes to the local mass effect. there is no midline shift.'],['mri of the brain with gadolinium demonstrates a ring - enhancing mass with surrounding edema in the right parietal lobe.']
['case 5 – rm ( t2 axial ) showing a subcortical white matter lesion in the right frontal lobe.'],['t2 - weighted axial gre image of brain of 17 - year - old male with post - traumatic seizure shows bilateral symmetrical hypointensity in the occipital white matter matter with cortical gyri and subcortical white matter hyperintensities']
['same patient as in figs 5 and 6. coronal t1 mri without contrast of acc filling the left nasal cavity and left maxillary sinus with extension and loss of fat in the left infratemporal fossa. perineural tumour spread again noted along v2 in the infraorbital foramen.'],['coronal t2 - weighted magnetic resonance imaging showing bilateral temporal atrophy with exudates of the walls suggesting involvement of the frontal and temporal bones.']
['magnetic resonance imaging of the axial t2 - weighted image showing same molar tooth appearance of mid - brain'],['t2w axial mri of brain shows hypointense signal of bilateral optic nerves with gliosis and thickened perilesional edema']
"['status after implantation of a cysto - peritoneal shunt on the left side, a minimal mass effect, flat paracerebral hematoma hygromas in the vicinity of both frontal lobes, mild cerebral edema demonstrated as cerebral sulci, and fissure obliteration. nonenhanced ct scan']","['the photo presents the same scan as in fig. 3, but a different cross section. a small subdural hygro - hematoma in the right frontal region. a blood trace along the tentorium of the cerebellum. a mass effect seen as minimal displacement of the lateral fissure of the brain to the right, with mild compression of the frontal corn of the left lateral ventricle. nonenhanced ct scan']"
['mice that express high levels of vegf - blocking molecules develop brain lesions ( arrows ).'],"['ivy sign. transverse t1w images of patient a shows sulcal dysplasia of the periventricular white matter, mainly in the left pituitary gland ( arrows ). this was a possibility of aqueductal stenosis during the motor execution.']"
['magnetic resonance imaging ( mri ) brain axial view fluid attenuated inversion recovery ( flair ) images showing multiple cysts of neurocysticercosis in varying stages of development'],['magnetic resonance imaging of brain flair images showing bilateral symmetrical medial temporal hyperintensities on t2 - weighted flair and subcortical images']
['diffusion - weighted nmr imaging of the brain.'],['mri of the brain with diffusion revealed a restricted diffusion in the cortical region of the left insular cortex.']
['ct brain shows extensive basal ganglia and cerebellar calcifications'],['noncontrast computed tomography brain showing bilateral gliotic changes with hemorrhage in the left basal ganglia and bilateral cerebral hemispheres']
['mri t1 axial of the brain on initial presentation.'],['post - treatment mri. no significant enhancement of the lesion was noted.']
"['post contrast magnetic resonance images demonstrates left temporoparietal tumour with heterogenous rim contrast enhancement. on the centre of the tumour, hypointense area indicates nectrotic component of the tumour. there is also obvious compression to lateral ventricular wall with prominent cerebral oedema.']",['an mri scan of the brain showing a large temporal mass lesion in the right temporal lobe with perilesional edema.']
['contrast enhanced ct scan of the brain shows an intensely enhancing mass ( arrow ) in the left frontal lobe with adjacent edema'],['post - operative cect brain at nine months after surgery showing significant resolution of the hematoma and hemorrhage in the left parietal lobe with significant resolution of the previous ischemic lesion']
['mri of the brain : vertical view at the time of presentation suggesting extensive thrombosis of the superior sagittal sinus.'],['postoperative sagittal t1 - weighted magnetic resonance image showing complete resection of the tumor in the left posterior temporal lobe.']
['an axial t2 flair image ( both arrows ) shows bilateral subacute infarct of the thalamus.'],['flair magnetic resonance imaging of the brain showing bilateral periventricular hyperintensities ( arrows ).']
"['magnetic resonance imaging ( axial view ) scan of the brain with gadolinium contrast showing an extra - axial, solid cystic lesion with heterogeneous enhancement in the right temporomastoid region']",['t1w axial mri of brain showing large hemorrhagic mass lesion in the left cerebellum and extra pons']
"['cerebral angiography ( lateral view ) with injection of the left vertebral artery ( arrow ) shows occlusion of the basilar artery ( open arrow ) at the vertebrobasilar junction, just above the origin of the right superior cerebellar artery ( white arrowhead ). there are many tiny collaterals that supply the territory of the brainstem perforators ( small arrowheads ) and wider collaterals that reconstitute the superior cerebellar artery ( asterisks ). there is also retrograde filling of the right vertebral artery ( white arrows ) and of the right pica.']",['lateral angiogram after left superficial temporal artery - middle cerebral artery double anastomosis. the tip of the black arrows indicate the branches of the eca.']
['right occipital intracerebral calcifications on preoperative ct.'],['computed tomography of the brain without contrast shows a left occipital cortical atrophy with surrounding edema.']
['brain computed tomography scan showing multiple hypodense areas of air densities in parenchyma'],['non - contrast computed tomography head showing gross total excision of the lesion']
['preoperative computed tomography scans showing left frontoparietal hematoma with midline shift.'],"['postoperative brain ct scan showing a large temporal hemorrhagic contusion, with underlying bony defect ( white arrow ).']"
['axial mri of the brain shows solid tumors in the right cerebral peduncle and in the left occipital lobe with surrounding cerebral edema.'],['brain mri post - gadolinium contrast showed a ring enhancing mass in the left thalamus that was detectable by a small hemorrhagic contusion in the left thalamus.']
"['t1 - weighted mri image. a large arachnoid cyst deforms right frontal lobe ; outer membrane of cyst is faintly visible. this patient presented with headache, vertigo, and seizures. the cyst wall consisted of respiratory - like epithelium.']",['infarction bilateral occipital and occipital white matter hyperintensities.']
['unenhanced ct brain showing ‘ triangle sign ’ ( line )'],"['postoperative contrast ct showing an extensive, ill - defined, heterogeneous signal in the bilateral parietal regions of the white matter']"
['preoperative non - contrast computed tomography ( axial view ) demonstrating right temporo - parietal collection causing mass effect on the underlying cerebral parenchyma and ventricular system with midline shift to the left.'],"['postoperative computed tomography scans of brain showing generalized cerebral atrophy, asymmetry with no midline shift and no evidence of cerebral atrophy.']"
['noncontrast computer tomography of brain showed bilateral diffuse subarachnoid haemorrhage'],['small extra - axial bleed in right temporal region']
['mdct exam shows small bowel parietal pneumatosis ( white arrow ).'],"['a 58 - year - old male patient ( case 1 ) with abdominal pain diagnosed with angioma : thickened colonic walls, with edematous change ( arrow ) between the parietal and parietal peritoneum.']"
['axial section ct demonstrating diffuse brain edema evident by effacement of cortical sulci and the subarachnoid hemorrhage in both sylvian fissures ( yellow arrows ) with seeding into the ventricular system ( red arrows ).'],['noncontrast brain ct scan demonstrating bilateral distension of the occipital horns ( yellow ). red arrows indicate hemorrhage in the left occipital horn.']
['brain magnetic resonance imaging ( fluid - attenuated inversion recovery ) displaying an incompletely formed interhemispheric fissure ( arrow 1 ) and partial fusion of the frontal lobe ( arrow 2 )'],['brain magnetic resonance imaging ( fluid - attenuated inversion recovery ) displaying a mono ventricle with partially developed temporal and occipital horns ( arrow 1 )']
['sagittal reformatted section of computed tomography of the brain showing thickened superior cerebellar peduncles oriented horizontally.'],['postoperative sagittal ct image showing bilateral cerebellar hypodensities.']
['computed tomography scan showing calvarial defect of 22 mm × 15 mm in occipital bone'],"['lateral radiograph of skull showing a well - defined, csf dense, solitary, cystic lesion in the left parietal bone']"
"['temporal bone ct - scan without contrast ( bone window, coronal view ). a lytic - expansile mass isodense with the brain is seen in the left jugular foramen that has eroded the floor of the hypotympanic cavity and osseous labyrinthine nearby and shows extension within the tympanic cavity. erosion of the inferior cortex of the petrous apex is noted. opacity of the tympanic cavity and mastoid air cells is also seen.']",['temporal bone ct scan of the temporal bone showing a displaced right temporal bone fracture through the mastoid.']
"['magnetic resonance imaging. diffusion weighted image showing infarcts in the left temporal pole ( a ), pons ( b ), and the left cerebellar hemisphere ( c ).']","['positron emission tomography ( ct ) mri showing hyperintensity in the temporal lobe ( a ), pons ( b ), c thalamus ( c ) and dwi ( e ) contralateral deviation.']"
['brain magnetic resonance imaging of the patient showing measurement of the mid - brain and pons and their values'],['mri brain sagittal section showing the location of the posterior cranial fossa. the red circle shows the location of the rois for the cerebellum and the optic chiasm.']
"['cerebellar abscess - complicated otomastoiditis. gadolinium - contrast - enhanced axial t1 - weighted mri sequence showing a lesion with enhancement of its walls, involving the cerebellum.']",['brain magnetic resonance imaging demonstrating a large vestibular schwannomas ( hannover stage 4b )']
['axial computed tomography image showing extension of soft tissue component into right buccal space and infratemporal space ( arrow ) with remodeling of mandible'],['computed tomography scan showing a displaced right occipital condyle fragment in the left occipital region with destruction of the left clivus and sclerosis']
['extension of tumor mass over the pterygoid plates and infratemporal fossa'],['axial computed tomography of the paranasal sinuses and brain showing bilateral soft tissue mass involving the left mastoid and infratemporal region']
['magnetic resonance imaging brain t1 - weighted axial image showing unilateral megalencephaly on the left side with enlarged ventricle'],"['magnetic resonance imaging brain showing large white matter lesions, > 3 cm in the left frontal lobe.']"
"['t2 - weighted mri of a boy at 6 months old ( patient no. 14 ) with subdural collections. mri settings : t2 se, slice thickness 6 mm, tr : 3465, te 150, flip angle 90°, nsa : 1. clinical history revealed a consistent macrocephaly and mild retardation, no signs of acute neurological deterioration. mri shows symmetrical fronto - parieto - occipital subdural collections ( asterisk ), atrophy of the frontal lobes, and bilateral wide sylvian fissures ( arrows ). the imaging findings are consistent with ga1. the work - up for child abuse revealed no concern']",['axial t2 magnetic resonance image showing bilateral symmetrical basal ganglia calcification ( arrows ).']
['cerebral angiogram – basal dural arteriovenous fistula of the posterior fossa. the feeder vessels were mainly from the distal v3 – v4 segment of the left vertebral artery and a lesser degree from a contribution from the left occipital artery.'],['lateral angiogram of the left carotid artery demonstrating the entire superficial temporal artery artery termination.']
"['vertex - wise significant difference map ( qdec ) of cortical thickness between patients with ris and controlsan area measuring approximately 3 cm in the right superior and inferior parietal gyri ( desikan - killiany labels, in red ) was significantly thinner in patients with radiologically isolated syndrome ( ris ) than in controls at a monte carlo threshold of p < 0. 005 and adjusted for age and sex.']",['sagittal t2 - weighted magnetic resonance imaging of the brain shows an atrophic left temporal gyrus with associated cortical thinninges ( arrow ). this finding has very poor prognosis.']
"['mri brain with contrast ( coronal view ) - homogenous enhancement of the lesion based on the lateral superior sagittal sinus wall at junction of anterior and middle third, and on adjacent falx']",['cns t1wi coronal mri brain of 7 - year - old male child with moyamoya disease showing mass effect on the brainstem']
['brain computed tomography ( ct ) scan taken 1 day before admission : pneumocephalus in the prepontine cistern. subdural hygroma in the left cerebral subdural space.'],['computed tomography of the brain demonstrating acute ischemic infarcts in the left temporal lobe.']
['head magnetic resonance imaging : one case had high signal intensity on the flair and t2 - weighted image in the bilateral amygdala and hippocampal area.'],['brain magnetic resonance imaging showing nonspecific ischemia.']
['temporal subdural empiema ( left size ).'],['brain mri showed acute venous infarctions with hemorrhage in the right cerebellar hemisphere.']
['coronal t2 - weighted magnetic resonance imaging scan showing the arachnoid cyst with the compression of the brain stem'],['t2 weighted image of bilateral hippocampal atrophy showing marked atrophy of the cortical and subcortical white matter']
"['an example of the placement of rois. the dti and dsci data were coregistered to the t 2 ‐ weighted sequence used to plan the spectroscopy grid ( shown in white ). the p abnormality ( red line ) and q ( yellow line ) is outlined to identify the invasive margin. regions of interest were taken from ( a ) the invasive region, ( b ) the noninvasive region, and ( c ) contralateral normal brain. measures of rcbv and mrs were made from each region.']","['central nervous system white matter volumes. 1h ‐ mrs images through the frontal lobe are presented. the central regions of interest ( a yellow ) indicate the location of the inferior frontal lesions. dwi in blue ), the center of the cerebellar hemisphere. it is surrounded by cerebral edema that are present in the white matter.']"
['gadolinium – enhanced axial brain mri with t1 sequence.'],['infarctional metastasis.']
"['coronal noncontrast computed tomography of right temporal bone reveals the end of a previously placed stapes prosthesis ( metallic object ) abutting the second genu of the facial nerve ( arrow ), which is descending anterior to the promontory as evidenced by its location adjacent to the turns of the cochlea.']",['48 - year old woman with idiopathic hypoparathyroidism. axial dwi shows increased fdg uptake in the right temporal lobe ( arrow ).']
['mri brain t2 axial image showing mild atrophy bilateral cerebral hemisphere and midbrain. no infarction or hematoma can be seen'],['axial t2 - weighted magnetic resonance imaging showing marked atrophy of right hippocampus with increased signal intensity in the left hippocampus']
['mri revealed ( flair ) areas of increased signal bilaterally in globus pallidus and in posterior part of the left thalamus.'],"['magnetic resonance imaging of the brain showing bilateral t2 / flair white matter hyperintensities involving corticospinal tracts, periventricular white matter, prominent bilateral occipital lobe and bilateral occipital lobe.']"
